"date";"nb_deces";"no";"no2";"o3";"pm25";"pm10"
"2007-01";1095;69.7393548387097;39.5761290322581;27.6887096774194;31.3274193548387;32.1448387096774
"2007-02";1007;49.2842857142857;37.6567857142857;37.0785714285714;32.6017857142857;33.38
"2007-03";950;30.8306451612903;33.6987096774194;53.3125806451613;28.7996774193548;30.1429032258065
"2007-04";956;23.5096666666667;34.3533333333333;69.8953333333333;32.4733333333333;35.804
"2007-05";880;20.0464516129032;23.5438709677419;61.4661290322581;20.7241935483871;22.3245161290323
"2007-06";831;20.2456666666667;23.477;63.0246666666667;18.6693333333333;19.5556666666667
"2007-07";948;18.5645161290323;20.4964516129032;59.7506451612903;16.1316129032258;17.6964516129032
"2007-08";837;14.4874193548387;19.428064516129;61.1367741935484;18.5332258064516;19.1987096774194
"2007-09";872;21.855;23.2183333333333;53.137;19.5116666666667;20.9206666666667
"2007-10";965;46.7758064516129;30.49;35.3190322580645;33.8251612903226;35.9054838709677
"2007-11";1089;48.4413333333333;33.496;31.5486666666667;32.4533333333333;31.1506666666667
"2007-12";1092;79.2583870967742;42.6806451612903;26.4293548387097;46.1787096774194;46.3461290322581
"2008-01";1121;65.068064516129;40.2448387096774;29.3706451612903;38.218064516129;34.7361290322581
"2008-02";1072;71.23;51.8403448275862;33.7789655172414;51.4975862068965;50.8465517241379
"2008-03";1065;23.8003225806452;26.5767741935484;56.2835483870968;21.0974193548387;18.4964516129032
"2008-04";983;21.852;26.0063333333333;66.1206666666667;20.9433333333333;18.8153333333333
"2008-05";955;16.7548387096774;23.9090322580645;72.5829032258064;22.9803225806452;21.8983870967742
"2008-06";950;16.5603333333333;22.4346666666667;62.763;22.3883333333333;21.4066666666667
"2008-07";954;14.1222580645161;21.731935483871;65.4848387096774;21.4190322580645;21.8277419354839
"2008-08";980;13.1216129032258;21.0874193548387;52.1761290322581;20.7987096774194;19.3741935483871
"2008-09";839;22.9743333333333;26.7586666666667;43.541;23.311;25.766
"2008-10";959;42.5932258064516;31.1238709677419;32.5803225806452;27.1909677419355;30.6996774193548
"2008-11";903;44.7643333333333;31.1143333333333;31.3896666666667;26.642;27.5523333333333
"2008-12";1076;48.6770967741936;35.6174193548387;21.5003225806452;29.2158064516129;30.7512903225806
"2009-01";1252;78.0554838709677;46.9329032258064;26.08;56.4135483870968;56.8683870967742
"2009-02";1099;36.1307142857143;31.8985714285714;36.7460714285714;29.4475;31.3560714285714
"2009-03";1051;27.2129032258064;28.8703225806452;53.55;27.3764516129032;31.2258064516129
"2009-04";1011;19.2676666666667;23.8043333333333;66.1233333333333;26.134;29.552
"2009-05";947;15.2296774193548;19.9796774193548;69.0716129032258;20.0696774193548;27.6658064516129
"2009-06";887;13.7106666666667;19.7736666666667;71.306;17.9146666666667;25.327
"2009-07";927;13.141935483871;17.6709677419355;68.1609677419355;15.3854838709677;21.188064516129
"2009-08";881;10.9587096774194;20.7422580645161;69.8690322580645;16.4548387096774;24.3064516129032
"2009-09";902;23.3376666666667;28.1713333333333;53.6476666666667;21.406;28.447
"2009-10";987;41.6935483870968;34.8061290322581;37.9103225806452;22.9925806451613;30.0170967741935
"2009-11";943;60.276;39.8806666666667;33.3963333333333;24.219;31.177
"2009-12";1006;47.8645161290323;37.99;30.7022580645161;26.2641935483871;28.8970967741935
"2010-01";1070;49.5732258064516;42.3612903225806;27.9248387096774;37.7851612903226;37.7516129032258
"2010-02";1008;42.8403571428571;44.0367857142857;40.9578571428571;34.3878571428571;37.7210714285714
"2010-03";1025;27.3754838709677;34.6125806451613;54.2545161290323;28.6796774193548;33.0516129032258
"2010-04";955;17.939;29.8533333333333;67.013;29.8676666666667;33.465
"2010-05";965;14.6667741935484;23.2648387096774;56.3232258064516;16.391935483871;21.3893548387097
"2010-06";879;16.2026666666667;27.2293333333333;65.4823333333333;17.8053333333333;22.5176666666667
"2010-07";950;13.0993548387097;28.3741935483871;75.1006451612903;18.6925806451613;26.2283870967742
"2010-08";925;14.3232258064516;24.7309677419355;55.2377419354839;15.5274193548387;19.4051612903226
"2010-09";860;26.211;33.7916666666667;47.0893333333333;17.837;21.2436666666667
"2010-10";996;38.1983870967742;34.6435483870968;38.7503225806452;24.7948387096774;29.7787096774194
"2010-11";926;52.1726666666667;36.8953333333333;29.0983333333333;23.1813333333333;25.5113333333333
"2010-12";1090;48.3887096774194;37.6429032258064;30.1432258064516;27.6183870967742;31.3509677419355
"2011-01";1130;60.3125806451613;41.2190322580645;30.9690322580645;34.8887096774194;38.7458064516129
"2011-02";961;54.1167857142857;46.5910714285714;31.6425;46.5296428571429;51.4653571428571
"2011-03";1019;33.3654838709677;40.3651612903226;48.9609677419355;37.2238709677419;42.818064516129
"2011-04";916;15.5883333333333;25.837;76.3286666666667;22.8926666666667;28.9533333333333
"2011-05";971;15.4887096774194;24.8448387096774;85.7158064516129;16.6087096774194;25.5038709677419
"2011-06";935;16.1706666666667;24.2593333333333;67.8676666666667;14.943;22.7873333333333
"2011-07";865;14.4596774193548;24.9403225806452;64.6429032258064;12.6712903225806;19.2793548387097
"2011-08";935;13.2316129032258;25.2738709677419;64.6964516129032;16.0293548387097;25.3645161290323
"2011-09";885;29.961;35.614;48.6086666666667;18.4076666666667;27.218
"2011-10";947;36.8087096774194;34.1561290322581;35.7490322580645;21.3574193548387;25.7632258064516
"2011-11";1029;82.447;45.2113333333333;18.9053333333333;39.0893333333333;41.4736666666667
"2011-12";1061;53.1390322580645;39.2916129032258;29.8029032258065;21.9254838709677;24.0345161290323
"2012-01";1194;49.9096774193548;38.4464516129032;25.5722580645161;28.7722580645161;28.8054838709677
"2012-02";1255;30.491724137931;34.5189655172414;36.1510344827586;36.8527586206897;38.1603448275862
"2012-03";1181;36.2361290322581;36.4412903225806;56.6045161290323;30.138064516129;40.628064516129
"2012-04";962;19.2796666666667;26.097;63.809;15.116;23.1433333333333
"2012-05";991;14.7745161290323;24.3322580645161;72.3458064516129;15.7748387096774;22.7261290322581
"2012-06";906;17.261;24.2843333333333;60.316;14.399;24.2846666666667
"2012-07";948;14.0525806451613;23.0929032258065;63.9887096774194;14.4748387096774;19.6687096774194
"2012-08";947;9.73290322580645;22.7083870967742;67.3109677419355;15.1074193548387;19.6248387096774
"2012-09";916;15.4533333333333;25.5636666666667;59.804;16.7393333333333;21.3693333333333
"2012-10";1016;38.8674193548387;33.4261290322581;36.7561290322581;21.5954838709677;27.2725806451613
"2012-11";957;42.288;31.9073333333333;33.2656666666667;22.1703333333333;27.0783333333333
"2012-12";1040;37.6070967741936;38.3916129032258;34.0554838709677;19.771935483871;22.6932258064516
"2013-01";1184;37.9235483870968;38.1470967741935;25.7629032258065;25.5106451612903;29.398064516129
"2013-02";1142;27.9303571428571;36.9342857142857;40.6389285714286;31.3025;35.3639285714286
"2013-03";1178;25.3335483870968;34.3793548387097;49.4554838709677;28.1183870967742;37.9987096774194
"2013-04";939;16.7653333333333;28.4713333333333;57.994;18.82;29.466
"2013-05";1019;11.3148387096774;22.27;56.438064516129;10.5264516129032;16.8622580645161
"2013-06";895;10.2293333333333;19.8506666666667;66.1893333333333;12.2693333333333;23.7463333333333
"2013-07";931;8.67258064516129;23.0306451612903;82.2503225806452;18.6287096774194;29.0554838709677
"2013-08";905;9.13774193548387;20.6412903225806;71.3577419354839;12.2735483870968;24.2916129032258
"2013-09";961;19.819;24.8946666666667;51.2886666666667;11.4133333333333;18.7976666666667
"2013-10";1023;25.0483870967742;26.4145161290323;38.5951612903226;11.8603225806452;19.3829032258065
"2013-11";966;36.2093333333333;27.8173333333333;29.62;17.1193333333333;21.03
"2013-12";1084;75.9490322580645;42.6490322580645;32.0377419354839;32.2848387096774;35.4858064516129
"2014-01";1106;27.3674193548387;30.2016129032258;34.0390322580645;15.511935483871;20.7261290322581
"2014-02";949;25.6089285714286;33.9253571428571;46.4675;11.8732142857143;17.5014285714286
"2014-03";1023;24.9309677419355;37.3074193548387;54.8283870967742;26.5441935483871;36.0270967741935
"2014-04";1012;15.1656666666667;29.0206666666667;60.2043333333333;11.6326666666667;20.8236666666667
"2014-05";983;13.6209677419355;22.2454838709677;70.9283870967742;8.8358064516129;15.3832258064516
"2014-06";886;11.6076666666667;24.311;87.2683333333333;12.6816666666667;21.978
"2014-07";941;13.4067741935484;27.7516129032258;62.4951612903226;11.0677419354839;18.62
"2014-08";936;13.7941935483871;24.3125806451613;56.8538709677419;8.96548387096774;15.5551612903226
