"date";"nb_deces";"no";"no2";"o3";"pm25";"pm10"
2018-01-01;44;19.52;30.27;56.39;4.71;7.67
2018-01-02;43;25.22;40.13;40.77;7.12;13.06
2018-01-03;44;19.68;32.6;50.93;5.48;9.52
2018-01-04;61;72.36;52.28;37.53;7.39;9.59
2018-01-05;41;37.56;41.52;32.24;6.62;9.48
2018-01-06;38;26.52;39.11;30.79;9.66;13.75
2018-01-07;56;15.1;24.67;17.98;14.34;16.76
2018-01-08;53;52.66;34.23;8.21;18.69;22.39
2018-01-09;38;38.69;39.06;25.73;12.3;17.35
2018-01-10;44;32.84;46.14;35.38;8.89;16.09
2018-01-11;37;66.04;52.71;28.5;16.57;20.98
2018-01-12;48;24.63;35.23;30.23;13.65;18.03
2018-01-13;38;40.65;43.25;18.79;24.93;29.43
2018-01-14;44;31.62;44.4;24.21;27.95;30.13
2018-01-15;38;51.97;41.47;33.61;22.2;30.2
2018-01-16;41;33.19;41.29;45.44;6.24;10.85
2018-01-17;33;26.69;41.93;50.28;8.41;13.09
2018-01-18;42;19.9;44.17;39.92;7.14;13.67
2018-01-19;34;45.15;55.75;39.02;9.14;13.31
2018-01-20;39;16.52;41.05;42.16;7.85;11.56
2018-01-21;35;13.6;35.53;49.05;7.95;10.72
2018-01-22;32;60.14;47.97;37.72;12.56;16.07
2018-01-23;35;45.45;57.08;35.87;10.09;17.74
2018-01-24;42;45.54;43.41;34.97;13.66;22.54
2018-01-25;34;42.02;34.24;55.72;5.82;15.77
2018-01-26;38;19.99;41.55;43.6;4.63;7.64
2018-01-27;31;23.67;35.85;33.66;10.7;14.99
2018-01-28;29;14.08;30.01;36.87;9.98;13.97
2018-01-29;38;52.74;47.41;26.03;13.21;17.48
2018-01-30;33;39.14;46.16;22.16;8.71;15.89
2018-01-31;36;22.36;31.42;27.17;9.08;17.24
2018-02-01;45;16.49;33.78;40.2;5.83;11.94
2018-02-02;38;25.66;39.53;36.53;7.14;14.71
2018-02-03;29;23.26;39.38;31.35;11.58;14.76
2018-02-04;35;20.79;41.71;23.98;19.5;23.84
2018-02-05;47;39.39;40.02;14.69;15.78;19.84
2018-02-06;48;53.2;44.3;14.31;21.62;27.49
2018-02-07;41;33.12;43.34;21.86;14.23;20.61
2018-02-08;51;25.31;33.96;9.6;21.87;28.36
2018-02-09;39;33.38;43.41;25.18;28.04;35.87
2018-02-10;43;15.68;32.25;49.04;8.39;12.7
2018-02-11;46;17.53;45.14;41.88;12.95;16.6
2018-02-12;44;14.19;34.87;51.08;6.47;11.09
2018-02-13;38;31.9;38.91;42.1;10.66;17.71
2018-02-14;39;35.79;51.57;31.75;13.82;19.32
2018-02-15;32;14.23;38.64;21.51;10.88;16.15
2018-02-16;33;41.1;46.53;34.68;15.06;19.6
2018-02-17;39;19.35;32.5;45.23;9.78;13.8
2018-02-18;34;13.08;19.52;53.83;6.35;9.42
2018-02-19;49;27.46;41.08;37.89;14.81;19.61
2018-02-20;46;16.24;29.91;46.01;18.94;25.44
2018-02-21;34;10.84;25.42;52.88;21.27;27.54
2018-02-22;39;13.19;29.94;48.47;34.05;41.83
2018-02-23;40;17.25;36.16;44.38;30.23;36.03
2018-02-24;31;16.7;38.53;32.24;38.38;45.91
2018-02-25;33;13.58;23.86;53.66;21.71;28.12
2018-02-26;37;12.47;21.82;63.24;11.98;18.75
2018-02-27;41;14.07;29.03;52.1;21.36;26.5
2018-02-28;40;27.39;52.35;28.74;37.9;46.41
2018-03-01;49;20.48;43.11;37.9;18.58;23.94
2018-03-02;54;42.56;52.37;36.43;18.43;25.2
2018-03-03;40;34.84;54.51;38.45;12.61;17.43
2018-03-04;46;30.65;47.09;42.27;13.17;18.89
2018-03-05;46;40.46;51.47;32.81;14.57;20.45
2018-03-06;48;31.27;46.02;47.14;6.49;10.58
2018-03-07;43;32.66;43.88;52.52;3.34;10.09
2018-03-08;44;28.65;37.4;52.9;9.58;15.97
2018-03-09;53;7.05;22.49;66.93;4.66;11.69
2018-03-10;49;6.14;21.11;61.02;5.09;6.68
2018-03-11;49;7.43;17.22;69.73;3.85;7.28
2018-03-12;56;12.38;32.89;53.82;4.22;7.04
2018-03-13;39;25.91;48.13;50.77;8.41;11.81
2018-03-14;29;40.62;37.1;53.02;11.47;17.85
