;nb_deces
2018-1-1;44
2018-1-2;43
2018-1-3;44
2018-1-4;61
2018-1-5;41
2018-1-6;38
2018-1-7;56
2018-1-8;53
2018-1-9;38
2018-1-10;44
2018-1-11;37
2018-1-12;48
2018-1-13;38
2018-1-14;44
2018-1-15;38
2018-1-16;41
2018-1-17;33
2018-1-18;42
2018-1-19;34
2018-1-20;39
2018-1-21;35
2018-1-22;32
2018-1-23;35
2018-1-24;42
2018-1-25;34
2018-1-26;38
2018-1-27;31
2018-1-28;29
2018-1-29;38
2018-1-30;33
2018-1-31;36
2018-2-1;45
2018-2-2;38
2018-2-3;29
2018-2-4;35
2018-2-5;47
2018-2-6;48
2018-2-7;41
2018-2-8;51
2018-2-9;39
2018-2-10;43
2018-2-11;46
2018-2-12;44
2018-2-13;38
2018-2-14;39
2018-2-15;32
2018-2-16;33
2018-2-17;39
2018-2-18;34
2018-2-19;49
2018-2-20;46
2018-2-21;34
2018-2-22;39
2018-2-23;40
2018-2-24;31
2018-2-25;33
2018-2-26;37
2018-2-27;41
2018-2-28;40
2018-3-1;49
2018-3-2;54
2018-3-3;40
2018-3-4;46
2018-3-5;46
2018-3-6;48
2018-3-7;43
2018-3-8;44
2018-3-9;53
2018-3-10;49
2018-3-11;49
2018-3-12;56
2018-3-13;39
2018-3-14;29
2018-3-15;39
2018-3-16;49
2018-3-17;42
2018-3-18;38
2018-3-19;33
2018-3-20;28
2018-3-21;43
2018-3-22;45
2018-3-23;24
2018-3-24;41
2018-3-25;29
2018-3-26;43
2018-3-27;35
2018-3-28;35
2018-3-29;33
2018-3-30;38
2018-3-31;41
2018-4-1;44
2018-4-2;38
2018-4-3;32
2018-4-4;44
2018-4-5;36
2018-4-6;43
2018-4-7;35
2018-4-8;31
2018-4-9;28
2018-4-10;39
2018-4-11;32
2018-4-12;31
2018-4-13;28
2018-4-14;40
2018-4-15;31
2018-4-16;22
2018-4-17;36
2018-4-18;38
2018-4-19;34
2018-4-20;40
2018-4-21;38
2018-4-22;33
2018-4-23;26
2018-4-24;31
2018-4-25;31
2018-4-26;34
2018-4-27;21
2018-4-28;31
2018-4-29;29
2018-4-30;34
2018-5-1;29
2018-5-2;33
2018-5-3;28
2018-5-4;35
2018-5-5;44
2018-5-6;27
2018-5-7;35
2018-5-8;33
2018-5-9;37
2018-5-10;36
2018-5-11;22
2018-5-12;27
2018-5-13;13
2018-5-14;28
2018-5-15;34
2018-5-16;25
2018-5-17;37
2018-5-18;35
2018-5-19;35
2018-5-20;33
2018-5-21;29
2018-5-22;37
2018-5-23;29
2018-5-24;27
2018-5-25;38
2018-5-26;24
2018-5-27;38
2018-5-28;41
2018-5-29;31
2018-5-30;33
2018-5-31;31
2018-6-1;29
2018-6-2;20
2018-6-3;34
2018-6-4;24
2018-6-5;31
2018-6-6;34
2018-6-7;31
2018-6-8;24
2018-6-9;30
2018-6-10;37
2018-6-11;32
2018-6-12;39
2018-6-13;37
2018-6-14;35
2018-6-15;27
2018-6-16;26
2018-6-17;32
2018-6-18;33
2018-6-19;30
2018-6-20;29
2018-6-21;26
2018-6-22;26
2018-6-23;36
2018-6-24;32
2018-6-25;29
2018-6-26;35
2018-6-27;37
2018-6-28;24
2018-6-29;26
2018-6-30;29
2018-7-1;33
2018-7-2;34
2018-7-3;35
2018-7-4;35
2018-7-5;30
2018-7-6;20
2018-7-7;36
2018-7-8;32
2018-7-9;23
2018-7-10;33
2018-7-11;29
2018-7-12;31
2018-7-13;33
2018-7-14;21
2018-7-15;23
2018-7-16;21
2018-7-17;28
2018-7-18;41
2018-7-19;41
2018-7-20;34
2018-7-21;32
2018-7-22;30
2018-7-23;25
2018-7-24;35
2018-7-25;34
2018-7-26;35
2018-7-27;24
2018-7-28;35
2018-7-29;29
2018-7-30;29
2018-7-31;30
2018-8-1;38
2018-8-2;32
2018-8-3;38
2018-8-4;30
2018-8-5;34
2018-8-6;40
2018-8-7;45
2018-8-8;44
2018-8-9;36
2018-8-10;29
2018-8-11;33
2018-8-12;38
2018-8-13;38
2018-8-14;28
2018-8-15;23
2018-8-16;44
2018-8-17;30
2018-8-18;23
2018-8-19;26
2018-8-20;31
2018-8-21;35
2018-8-22;32
2018-8-23;39
2018-8-24;33
2018-8-25;31
2018-8-26;30
2018-8-27;29
2018-8-28;29
2018-8-29;50
2018-8-30;17
2018-8-31;28
2018-9-1;29
2018-9-2;28
2018-9-3;24
2018-9-4;31
2018-9-5;36
2018-9-6;42
2018-9-7;40
2018-9-8;30
2018-9-9;38
2018-9-10;36
2018-9-11;28
2018-9-12;36
2018-9-13;29
2018-9-14;40
2018-9-15;36
2018-9-16;36
2018-9-17;37
2018-9-18;27
2018-9-19;48
2018-9-20;28
2018-9-21;34
2018-9-22;32
2018-9-23;29
2018-9-24;28
2018-9-25;43
2018-9-26;34
2018-9-27;21
2018-9-28;38
2018-9-29;20
2018-9-30;38
2018-10-1;32
2018-10-2;30
2018-10-3;27
2018-10-4;35
2018-10-5;31
2018-10-6;29
2018-10-7;48
2018-10-8;22
2018-10-9;37
2018-10-10;29
2018-10-11;28
2018-10-12;32
2018-10-13;25
2018-10-14;23
2018-10-15;27
2018-10-16;34
2018-10-17;29
2018-10-18;40
2018-10-19;31
2018-10-20;31
2018-10-21;33
2018-10-22;26
2018-10-23;40
2018-10-24;35
2018-10-25;34
2018-10-26;26
2018-10-27;39
2018-10-28;34
2018-10-29;36
2018-10-30;44
2018-10-31;43
2018-11-1;43
2018-11-2;46
2018-11-3;30
2018-11-4;29
2018-11-5;34
2018-11-6;36
2018-11-7;36
2018-11-8;31
2018-11-9;22
2018-11-10;34
2018-11-11;31
2018-11-12;38
2018-11-13;36
2018-11-14;30
2018-11-15;30
2018-11-16;29
2018-11-17;40
2018-11-18;27
2018-11-19;31
2018-11-20;43
2018-11-21;36
2018-11-22;41
2018-11-23;33
2018-11-24;31
2018-11-25;33
2018-11-26;31
2018-11-27;35
2018-11-28;38
2018-11-29;28
2018-11-30;40
2018-12-1;32
2018-12-2;39
2018-12-3;35
2018-12-4;28
2018-12-5;47
2018-12-6;29
2018-12-7;30
2018-12-8;32
2018-12-9;38
2018-12-10;23
2018-12-11;44
2018-12-12;36
2018-12-13;30
2018-12-14;39
2018-12-15;33
2018-12-16;37
2018-12-17;35
2018-12-18;26
2018-12-19;25
2018-12-20;33
2018-12-21;33
2018-12-22;33
2018-12-23;32
2018-12-24;30
2018-12-25;38
2018-12-26;46
2018-12-27;33
2018-12-28;33
2018-12-29;37
2018-12-30;39
2018-12-31;38
