;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
01/01/2000;28.0;62.0;49.0;61.0;65.0;24.0;33.0;6.0;59.0;57.0;37.0;73.0;43.0;48.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/01/2000;26.0;56.0;38.0;47.0;61.0;25.0;31.0;4.0;50.0;47.0;32.0;52.0;38.0;39.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/01/2000;28.0;58.0;43.0;56.0;66.0;40.0;35.0;3.0;72.0;42.0;43.0;69.0;39.0;41.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/01/2000;40.0;87.0;56.0;86.0;90.0;67.0;48.0;2.0;94.0;57.0;59.0;99.0;51.0;54.0;84.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/01/2000;56.0;89.0;64.0;86.0;112.0;49.0;62.0;-1.0;93.0;73.0;49.0;94.0;73.0;70.0;88.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/01/2000;40.0;80.0;51.0;83.0;81.0;48.0;56.0;-1.0;88.0;52.0;39.0;113.0;53.0;49.0;85.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/01/2000;49.0;84.0;55.0;87.0;111.0;55.0;51.0;-1.0;97.0;75.0;40.0;85.0;68.0;75.0;80.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/01/2000;40.0;80.0;53.0;75.0;83.0;48.0;40.0;-1.0;82.0;59.0;46.0;75.0;52.0;55.0;79.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/01/2000;30.0;61.0;36.0;47.0;47.0;26.0;33.0;-1.0;49.0;47.0;28.0;50.0;40.0;41.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/01/2000;23.0;57.0;36.0;48.0;69.0;24.0;35.0;-1.0;37.0;45.0;29.0;46.0;37.0;30.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/01/2000;26.0;58.0;40.0;46.0;76.0;29.0;31.0;-1.0;41.0;48.0;29.0;50.0;40.0;38.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/01/2000;33.0;64.0;53.0;61.0;89.0;35.0;37.0;-1.0;63.0;49.0;38.0;59.0;43.0;46.0;65.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/01/2000;29.0;78.0;60.0;77.0;82.0;37.0;36.0;8.0;77.0;48.0;52.0;83.0;39.0;49.0;85.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/01/2000;48.0;90.0;85.0;89.0;105.0;53.0;48.0;26.0;103.0;68.0;68.0;97.0;60.0;63.0;98.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/01/2000;42.0;65.0;61.0;62.0;69.0;43.0;42.0;25.0;60.0;62.0;51.0;64.0;56.0;59.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/01/2000;27.0;54.0;40.0;43.0;49.0;25.0;31.0;18.0;41.0;50.0;37.0;47.0;41.0;37.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/01/2000;30.0;63.0;45.0;47.0;63.0;31.0;34.0;11.0;44.0;44.0;37.0;55.0;39.0;30.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/01/2000;29.0;48.0;40.0;50.0;56.0;30.0;36.0;13.0;43.0;43.0;36.0;51.0;38.0;28.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/01/2000;20.0;52.0;31.0;49.0;63.0;24.0;42.0;8.0;38.0;37.0;40.0;45.0;38.0;23.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/01/2000;31.0;75.0;44.0;56.0;79.0;33.0;41.0;10.0;57.0;55.0;46.0;59.0;46.0;45.0;58.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/01/2000;32.0;68.0;48.0;59.0;71.0;36.0;40.0;8.0;53.0;49.0;43.0;64.0;43.0;37.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/01/2000;22.0;33.0;-1.0;53.0;52.0;35.0;28.0;10.0;48.0;33.0;36.0;50.0;29.0;27.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/01/2000;19.0;25.0;31.0;45.0;40.0;17.0;24.0;5.0;34.0;32.0;27.0;48.0;23.0;15.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/01/2000;25.0;50.0;34.0;53.0;67.0;25.0;37.0;8.0;39.0;44.0;32.0;53.0;38.0;30.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/01/2000;40.0;64.0;-1.0;59.0;80.0;38.0;42.0;11.0;53.0;56.0;46.0;64.0;57.0;53.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/01/2000;55.0;83.0;-1.0;101.0;101.0;44.0;57.0;43.0;100.0;66.0;67.0;103.0;72.0;79.0;88.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
