;FR20045;FR20049;FR20003;FR20017;FR20020;FR20037;FR20036;FR20004;FR20048;FR20046;FR20204;FR20061;FR20062;FR20077
01/01/2000;9.0;39.0;3.0;4.0;1.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/01/2000;5.0;45.0;5.0;15.0;2.0;7.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/01/2000;5.0;32.0;4.0;7.0;2.0;5.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/01/2000;6.0;39.0;4.0;5.0;2.0;3.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/01/2000;5.0;43.0;4.0;4.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/01/2000;10.0;31.0;4.0;5.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/01/2000;4.0;45.0;3.0;4.0;0.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/01/2000;3.0;31.0;2.0;4.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/01/2000;12.0;46.0;6.0;14.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/01/2000;20.0;44.0;10.0;26.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/01/2000;4.0;28.0;5.0;9.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/01/2000;3.0;10.0;3.0;5.0;1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/01/2000;18.0;54.0;4.0;14.0;8.0;-1.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/01/2000;11.0;37.0;3.0;5.0;2.0;-1.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/01/2000;4.0;25.0;3.0;6.0;2.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/01/2000;13.0;31.0;7.0;18.0;10.0;-1.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/01/2000;8.0;38.0;7.0;13.0;8.0;-1.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/01/2000;13.0;36.0;6.0;19.0;10.0;-1.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/01/2000;35.0;60.0;18.0;49.0;19.0;45.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/01/2000;12.0;47.0;8.0;21.0;7.0;19.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/01/2000;7.0;49.0;8.0;17.0;8.0;24.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/01/2000;15.0;48.0;7.0;28.0;15.0;34.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/01/2000;36.0;56.0;13.0;39.0;24.0;44.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/01/2000;22.0;48.0;12.0;28.0;15.0;28.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/01/2000;11.0;46.0;7.0;15.0;8.0;12.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/01/2000;10.0;30.0;3.0;5.0;2.0;7.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/01/2000;7.0;35.0;3.0;5.0;3.0;7.0;6.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/01/2000;7.0;58.0;3.0;4.0;2.0;5.0;7.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/01/2000;11.0;59.0;2.0;5.0;0.0;19.0;11.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/01/2000;10.0;64.0;2.0;4.0;0.0;5.0;7.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/01/2000;4.0;43.0;3.0;5.0;2.0;5.0;5.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/02/2000;15.0;35.0;4.0;7.0;6.0;9.0;15.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/02/2000;24.0;42.0;6.0;8.0;5.0;17.0;16.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/02/2000;20.0;48.0;10.0;33.0;15.0;31.0;29.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/02/2000;11.0;39.0;6.0;9.0;4.0;16.0;9.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/02/2000;15.0;49.0;3.0;9.0;5.0;19.0;14.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/02/2000;55.0;44.0;10.0;38.0;16.0;61.0;45.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/02/2000;35.0;60.0;7.0;21.0;10.0;33.0;26.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/02/2000;21.0;48.0;7.0;19.0;9.0;25.0;17.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/02/2000;24.0;63.0;12.0;37.0;19.0;39.0;32.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/02/2000;12.0;47.0;4.0;11.0;6.0;14.0;13.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/02/2000;22.0;57.0;11.0;35.0;17.0;33.0;31.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/02/2000;19.0;55.0;11.0;35.0;14.0;31.0;27.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/02/2000;16.0;50.0;3.0;8.0;4.0;15.0;13.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/02/2000;17.0;38.0;4.0;8.0;3.0;13.0;11.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/02/2000;17.0;50.0;3.0;6.0;1.0;10.0;9.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/02/2000;29.0;73.0;12.0;53.0;29.0;52.0;45.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/02/2000;18.0;62.0;8.0;31.0;11.0;35.0;22.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/02/2000;21.0;53.0;4.0;7.0;4.0;21.0;17.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/02/2000;26.0;69.0;10.0;46.0;25.0;49.0;39.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/02/2000;51.0;66.0;27.0;65.0;31.0;54.0;58.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/02/2000;22.0;63.0;13.0;38.0;18.0;27.0;32.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/02/2000;13.0;60.0;11.0;26.0;10.0;15.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/02/2000;15.0;70.0;7.0;24.0;10.0;19.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/02/2000;17.0;56.0;4.0;7.0;3.0;11.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/02/2000;13.0;48.0;3.0;6.0;1.0;15.0;9.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/02/2000;15.0;39.0;4.0;10.0;6.0;14.0;12.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/02/2000;43.0;55.0;11.0;40.0;22.0;42.0;45.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/02/2000;86.0;80.0;30.0;84.0;47.0;49.0;83.0;65.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/02/2000;79.0;68.0;19.0;64.0;37.0;42.0;71.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/03/2000;38.0;69.0;12.0;49.0;25.0;47.0;47.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/03/2000;27.0;59.0;14.0;40.0;17.0;36.0;38.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/03/2000;25.0;64.0;5.0;15.0;7.0;21.0;20.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/03/2000;45.0;71.0;20.0;63.0;26.0;48.0;52.0;59.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/03/2000;55.0;74.0;26.0;72.0;31.0;59.0;62.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/03/2000;30.0;58.0;9.0;23.0;10.0;33.0;28.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/03/2000;38.0;79.0;8.0;31.0;14.0;32.0;36.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/03/2000;18.0;73.0;9.0;29.0;11.0;25.0;23.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/03/2000;21.0;73.0;6.0;33.0;13.0;33.0;25.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/03/2000;18.0;56.0;9.0;36.0;11.0;25.0;23.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/03/2000;27.0;63.0;11.0;34.0;15.0;32.0;29.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/03/2000;46.0;65.0;22.0;69.0;29.0;48.0;54.0;54.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/03/2000;18.0;65.0;13.0;37.0;17.0;24.0;27.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/03/2000;23.0;69.0;14.0;51.0;20.0;-1.0;41.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/03/2000;52.0;70.0;26.0;67.0;30.0;-1.0;63.0;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/03/2000;43.0;68.0;20.0;56.0;22.0;50.0;50.0;48.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/03/2000;38.0;59.0;18.0;52.0;15.0;42.0;43.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/03/2000;40.0;55.0;16.0;55.0;21.0;43.0;45.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/03/2000;46.0;62.0;20.0;62.0;26.0;47.0;53.0;48.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/03/2000;26.0;62.0;12.0;37.0;18.0;32.0;31.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/03/2000;37.0;68.0;7.0;27.0;14.0;32.0;-1.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/03/2000;79.0;76.0;21.0;56.0;50.0;66.0;-1.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/03/2000;63.0;72.0;19.0;59.0;32.0;70.0;68.0;50.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/03/2000;51.0;65.0;12.0;45.0;34.0;49.0;47.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/03/2000;-1.0;68.0;13.0;48.0;38.0;40.0;46.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
