;FR20013;FR20046;FR20062;FR20065;FR20061;FR20077;FR20037;FR20017;FR20048
01/01/2007;23.0;19.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/01/2007;18.0;11.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/01/2007;32.0;22.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/01/2007;46.0;37.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/01/2007;40.0;33.1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/01/2007;40.0;26.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/01/2007;42.0;33.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/01/2007;33.0;24.1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/01/2007;45.0;28.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/01/2007;29.0;18.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/01/2007;41.0;35.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/01/2007;32.0;26.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/01/2007;50.0;39.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/01/2007;36.0;28.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/01/2007;36.0;28.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/01/2007;46.0;40.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/01/2007;40.0;28.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/01/2007;27.0;20.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/01/2007;39.0;27.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/01/2007;38.0;36.3;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/01/2007;28.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/01/2007;35.0;23.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/01/2007;22.0;12.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/01/2007;17.0;13.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/01/2007;31.0;26.7;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/01/2007;31.0;27.2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/01/2007;35.0;33.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/01/2007;28.0;20.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/01/2007;36.0;27.6;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/01/2007;44.0;26.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/01/2007;59.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/02/2007;37.0;33.6;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/02/2007;54.0;35.5;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/02/2007;47.0;40.7;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/02/2007;47.0;37.4;47.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/02/2007;56.0;51.9;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/02/2007;43.0;24.4;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/02/2007;26.0;20.9;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/02/2007;21.0;13.8;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/02/2007;43.0;40.2;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/02/2007;34.0;26.5;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/02/2007;20.0;13.4;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/02/2007;13.0;9.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/02/2007;24.0;13.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/02/2007;25.0;14.4;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/02/2007;25.0;18.9;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/02/2007;49.0;34.1;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/02/2007;46.0;34.4;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/02/2007;63.0;58.7;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/02/2007;49.0;52.1;47.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/02/2007;57.0;55.6;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/02/2007;55.0;48.8;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/02/2007;47.0;40.3;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/02/2007;45.0;33.7;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/02/2007;22.0;15.5;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/02/2007;12.0;5.6;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/02/2007;13.0;6.8;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/02/2007;22.0;16.1;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/02/2007;23.0;14.9;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/03/2007;16.0;10.4;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/03/2007;22.0;8.8;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/03/2007;26.0;10.6;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/03/2007;-1.0;16.6;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/03/2007;25.0;15.1;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/03/2007;23.0;19.8;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/03/2007;19.0;11.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/03/2007;24.0;16.9;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/03/2007;26.0;17.6;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/03/2007;14.0;13.4;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/03/2007;21.0;18.7;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/03/2007;41.0;34.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/03/2007;46.0;37.9;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/03/2007;55.0;48.2;50.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/03/2007;100.0;103.0;106.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/03/2007;96.0;93.6;92.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/03/2007;44.0;40.4;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/03/2007;15.0;12.4;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/03/2007;12.0;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/03/2007;17.0;-1.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/03/2007;20.0;11.9;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/03/2007;20.0;11.2;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/03/2007;30.0;23.1;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/03/2007;24.0;16.8;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/03/2007;28.0;22.9;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/03/2007;48.0;38.3;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/03/2007;37.0;29.7;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/03/2007;38.0;18.7;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/03/2007;39.0;25.7;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/03/2007;27.0;11.9;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/03/2007;29.0;23.1;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/04/2007;40.0;32.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/04/2007;50.0;38.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/04/2007;37.0;25.4;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/04/2007;-1.0;23.6;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/04/2007;-1.0;37.6;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/04/2007;55.0;40.3;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/04/2007;45.0;37.3;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/04/2007;50.0;43.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/04/2007;28.0;27.8;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/04/2007;33.0;20.3;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/04/2007;43.0;29.6;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/04/2007;35.0;25.5;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/04/2007;41.0;26.6;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/04/2007;36.0;19.1;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/04/2007;36.0;28.8;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/04/2007;41.0;20.6;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/04/2007;40.0;20.2;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/04/2007;48.0;31.3;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/04/2007;36.0;21.5;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/04/2007;36.0;22.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/04/2007;34.0;21.5;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/04/2007;31.0;22.9;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/04/2007;38.0;24.5;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/04/2007;41.0;23.9;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/04/2007;37.0;27.7;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/04/2007;45.0;23.9;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/04/2007;47.0;19.6;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/04/2007;39.0;25.8;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/04/2007;29.0;19.6;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/04/2007;30.0;13.2;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/05/2007;31.0;17.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/05/2007;25.0;7.9;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/05/2007;20.0;10.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/05/2007;35.0;18.1;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/05/2007;34.0;25.9;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/05/2007;32.0;22.5;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/05/2007;25.0;15.4;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/05/2007;19.0;9.7;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/05/2007;21.0;8.9;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/05/2007;29.0;15.5;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/05/2007;25.0;9.8;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/05/2007;23.0;12.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/05/2007;26.0;20.1;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/05/2007;25.0;11.8;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/05/2007;23.0;7.9;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/05/2007;27.0;10.9;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/05/2007;20.0;6.1;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/05/2007;19.0;8.6;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/05/2007;25.0;13.9;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/05/2007;22.0;14.5;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/05/2007;31.0;16.8;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/05/2007;39.0;20.8;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/05/2007;38.0;16.3;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/05/2007;39.0;16.3;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/05/2007;48.0;29.4;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/05/2007;42.0;24.2;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/05/2007;20.0;6.8;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/05/2007;12.0;4.1;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/05/2007;18.0;7.7;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/05/2007;28.0;14.1;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/05/2007;33.0;13.4;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/06/2007;25.0;9.3;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/06/2007;20.0;13.3;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/06/2007;30.0;17.5;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/06/2007;39.0;18.5;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/06/2007;36.0;14.9;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/06/2007;44.0;18.5;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/06/2007;41.0;17.8;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/06/2007;53.0;18.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/06/2007;47.0;24.2;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/06/2007;33.0;16.4;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/06/2007;32.0;11.2;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/06/2007;19.0;13.5;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/06/2007;24.0;17.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/06/2007;19.0;15.2;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/06/2007;19.0;7.2;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/06/2007;12.0;10.1;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/06/2007;13.0;11.6;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/06/2007;20.0;12.4;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/06/2007;27.0;13.4;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/06/2007;26.0;13.2;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/06/2007;-1.0;7.3;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/06/2007;13.0;7.9;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/06/2007;12.0;7.6;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/06/2007;15.0;10.9;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/06/2007;18.0;11.3;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/06/2007;14.0;7.7;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/06/2007;14.0;8.1;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/06/2007;18.0;10.9;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/06/2007;22.0;13.3;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/06/2007;20.0;13.4;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/07/2007;28.0;18.4;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/07/2007;16.0;11.2;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/07/2007;19.0;12.8;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/07/2007;17.0;6.4;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/07/2007;18.0;7.8;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/07/2007;25.0;12.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/07/2007;18.0;9.6;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/07/2007;22.0;13.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/07/2007;16.0;8.2;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/07/2007;18.0;7.5;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/07/2007;16.0;10.7;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/07/2007;23.0;11.5;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/07/2007;22.0;23.4;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/07/2007;13.0;12.1;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/07/2007;12.0;9.8;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/07/2007;13.0;12.1;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/07/2007;24.0;12.3;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/07/2007;23.0;14.9;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/07/2007;28.0;16.9;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/07/2007;26.0;15.5;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/07/2007;20.0;11.2;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/07/2007;17.0;12.9;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/07/2007;17.0;12.4;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/07/2007;12.0;9.2;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/07/2007;20.0;12.7;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/07/2007;30.0;18.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/07/2007;29.0;14.7;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
