;id_station;valeur
26/11/2006;FR20038;29.0
26/11/2006;FR20061;24.0
26/11/2006;FR20029;47.0
26/11/2006;FR20013;41.0
26/11/2006;FR20031;40.0
26/11/2006;FR20019;40.0
27/11/2006;FR20061;49.0
27/11/2006;FR20019;58.0
27/11/2006;FR20013;54.0
27/11/2006;FR20031;42.0
27/11/2006;FR20038;35.0
27/11/2006;FR20029;45.0
28/11/2006;FR20038;38.0
28/11/2006;FR20031;42.0
28/11/2006;FR20013;51.0
28/11/2006;FR20061;45.0
28/11/2006;FR20029;42.0
28/11/2006;FR20019;50.0
29/11/2006;FR20061;15.0
29/11/2006;FR20031;20.0
29/11/2006;FR20029;19.0
29/11/2006;FR20019;17.0
29/11/2006;FR20013;24.0
29/11/2006;FR20038;15.0
30/11/2006;FR20061;31.0
30/11/2006;FR20013;54.0
30/11/2006;FR20031;37.0
30/11/2006;FR20019;44.0
30/11/2006;FR20038;31.0
30/11/2006;FR20029;42.0
01/12/2006;FR20013;52.0
01/12/2006;FR20019;49.0
02/12/2006;FR20019;36.0
02/12/2006;FR20013;33.0
03/12/2006;FR20019;23.0
03/12/2006;FR20013;26.0
04/12/2006;FR20019;26.0
04/12/2006;FR20013;33.0
05/12/2006;FR20013;31.0
05/12/2006;FR20019;24.0
06/12/2006;FR20013;35.0
06/12/2006;FR20019;32.0
07/12/2006;FR20019;52.0
07/12/2006;FR20013;48.0
08/12/2006;FR20013;24.0
08/12/2006;FR20019;16.0
09/12/2006;FR20013;28.0
09/12/2006;FR20019;22.0
10/12/2006;FR20013;29.0
10/12/2006;FR20019;21.0
11/12/2006;FR20013;60.0
11/12/2006;FR20019;74.0
12/12/2006;FR20019;61.0
12/12/2006;FR20013;69.0
13/12/2006;FR20019;37.0
13/12/2006;FR20013;52.0
14/12/2006;FR20013;99.0
14/12/2006;FR20019;88.0
15/12/2006;FR20013;126.0
15/12/2006;FR20019;130.0
16/12/2006;FR20013;83.0
16/12/2006;FR20019;115.0
17/12/2006;FR20019;38.0
17/12/2006;FR20013;35.0
18/12/2006;FR20013;25.0
18/12/2006;FR20019;17.0
19/12/2006;FR20013;35.0
19/12/2006;FR20019;25.0
20/12/2006;FR20013;49.0
20/12/2006;FR20019;36.0
21/12/2006;FR20013;68.0
21/12/2006;FR20019;75.0
22/12/2006;FR20038;51.0
22/12/2006;FR20031;58.0
22/12/2006;FR20029;63.0
22/12/2006;FR20061;56.0
22/12/2006;FR20019;95.0
22/12/2006;FR20013;84.0
23/12/2006;FR20038;43.0
23/12/2006;FR20061;35.0
23/12/2006;FR20019;85.0
23/12/2006;FR20013;67.0
23/12/2006;FR20029;45.0
23/12/2006;FR20031;41.0
24/12/2006;FR20019;59.0
24/12/2006;FR20013;51.0
24/12/2006;FR20061;31.0
24/12/2006;FR20029;37.0
24/12/2006;FR20031;34.0
24/12/2006;FR20038;37.0
25/12/2006;FR20031;29.0
25/12/2006;FR20038;27.0
25/12/2006;FR20029;34.0
25/12/2006;FR20061;28.0
25/12/2006;FR20019;52.0
25/12/2006;FR20013;40.0
26/12/2006;FR20031;39.0
26/12/2006;FR20061;40.0
26/12/2006;FR20019;82.0
26/12/2006;FR20013;72.0
26/12/2006;FR20038;35.0
26/12/2006;FR20029;48.0
27/12/2006;FR20029;65.0
27/12/2006;FR20013;83.0
27/12/2006;FR20061;52.0
27/12/2006;FR20019;112.0
27/12/2006;FR20038;54.0
27/12/2006;FR20031;60.0
28/12/2006;FR20029;60.0
28/12/2006;FR20038;63.0
28/12/2006;FR20013;101.0
28/12/2006;FR20031;67.0
28/12/2006;FR20019;125.0
28/12/2006;FR20061;68.0
29/12/2006;FR20061;73.0
29/12/2006;FR20031;72.0
29/12/2006;FR20029;66.0
29/12/2006;FR20038;59.0
29/12/2006;FR20013;109.0
29/12/2006;FR20019;138.0
30/12/2006;FR20013;45.0
30/12/2006;FR20038;19.0
30/12/2006;FR20019;33.0
30/12/2006;FR20061;36.0
30/12/2006;FR20031;20.0
30/12/2006;FR20029;22.0
31/12/2006;FR20029;27.0
31/12/2006;FR20019;41.0
31/12/2006;FR20031;25.0
31/12/2006;FR20038;25.0
31/12/2006;FR20061;30.0
01/01/2007;FR20037;23.0
01/01/2007;FR20013;34.0
01/01/2007;FR20019;28.0
01/01/2007;FR20046;23.0
01/01/2007;FR20038;19.0
01/01/2007;FR20029;24.0
01/01/2007;FR20061;21.0
01/01/2007;FR20045;22.0
01/01/2007;FR20031;21.0
02/01/2007;FR20013;30.0
02/01/2007;FR20029;16.0
02/01/2007;FR20031;15.0
02/01/2007;FR20045;19.0
02/01/2007;FR20061;15.0
02/01/2007;FR20019;19.0
02/01/2007;FR20046;17.0
02/01/2007;FR20037;17.0
02/01/2007;FR20038;11.0
03/01/2007;FR20061;30.0
03/01/2007;FR20045;32.0
03/01/2007;FR20038;27.0
03/01/2007;FR20031;31.0
03/01/2007;FR20019;52.0
03/01/2007;FR20029;37.0
03/01/2007;FR20037;32.0
03/01/2007;FR20046;32.0
03/01/2007;FR20013;50.0
04/01/2007;FR20019;58.0
04/01/2007;FR20029;42.0
04/01/2007;FR20037;40.0
04/01/2007;FR20061;44.0
04/01/2007;FR20045;40.0
04/01/2007;FR20046;43.0
04/01/2007;FR20031;38.0
04/01/2007;FR20013;67.0
04/01/2007;FR20038;39.0
05/01/2007;FR20031;33.0
05/01/2007;FR20038;29.0
05/01/2007;FR20029;34.0
05/01/2007;FR20046;39.0
05/01/2007;FR20061;37.0
05/01/2007;FR20013;55.0
05/01/2007;FR20037;33.0
05/01/2007;FR20019;63.0
05/01/2007;FR20045;36.0
06/01/2007;FR20038;30.0
06/01/2007;FR20061;35.0
06/01/2007;FR20046;32.0
06/01/2007;FR20013;55.0
06/01/2007;FR20029;36.0
06/01/2007;FR20045;29.0
06/01/2007;FR20037;29.0
06/01/2007;FR20031;29.0
06/01/2007;FR20019;61.0
