;id_station;valeur
01/01/2007;FR20013;23.0
01/01/2007;FR20046;19.7
02/01/2007;FR20046;11.3
02/01/2007;FR20013;18.0
03/01/2007;FR20013;32.0
03/01/2007;FR20046;22.9
04/01/2007;FR20046;37.2
04/01/2007;FR20013;46.0
05/01/2007;FR20046;33.1
05/01/2007;FR20013;40.0
06/01/2007;FR20013;40.0
06/01/2007;FR20046;26.9
07/01/2007;FR20046;33.8
07/01/2007;FR20013;42.0
08/01/2007;FR20013;33.0
08/01/2007;FR20046;24.1
09/01/2007;FR20013;45.0
09/01/2007;FR20046;28.2
10/01/2007;FR20013;29.0
10/01/2007;FR20046;18.6
11/01/2007;FR20013;41.0
11/01/2007;FR20046;35.3
12/01/2007;FR20046;26.8
12/01/2007;FR20013;32.0
13/01/2007;FR20013;50.0
13/01/2007;FR20046;39.7
14/01/2007;FR20046;28.3
14/01/2007;FR20013;36.0
15/01/2007;FR20046;28.3
15/01/2007;FR20013;36.0
16/01/2007;FR20013;46.0
16/01/2007;FR20046;40.9
17/01/2007;FR20013;40.0
17/01/2007;FR20046;28.7
18/01/2007;FR20046;20.8
18/01/2007;FR20013;27.0
19/01/2007;FR20046;27.5
19/01/2007;FR20013;39.0
20/01/2007;FR20013;38.0
20/01/2007;FR20046;36.3
21/01/2007;FR20013;28.0
21/01/2007;FR20046;24.0
22/01/2007;FR20013;35.0
22/01/2007;FR20046;23.5
23/01/2007;FR20046;12.5
23/01/2007;FR20013;22.0
24/01/2007;FR20046;13.6
24/01/2007;FR20013;17.0
25/01/2007;FR20013;31.0
25/01/2007;FR20046;26.7
26/01/2007;FR20013;31.0
26/01/2007;FR20046;27.2
27/01/2007;FR20046;33.8
27/01/2007;FR20013;35.0
28/01/2007;FR20013;28.0
28/01/2007;FR20046;20.5
29/01/2007;FR20046;27.6
29/01/2007;FR20013;36.0
30/01/2007;FR20046;26.5
30/01/2007;FR20013;44.0
31/01/2007;FR20013;59.0
31/01/2007;FR20046;39.0
01/02/2007;FR20046;33.6
01/02/2007;FR20013;37.0
01/02/2007;FR20062;34.0
02/02/2007;FR20046;35.5
02/02/2007;FR20013;54.0
02/02/2007;FR20062;44.0
03/02/2007;FR20046;40.7
