;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
01/01/2007;33.0;4.0;2.0;2.0;-1.0;-1.0;25.0;27.0;0.0;2.0;-1.0;44.0;13.0;51.0;-1.0;2.0;0.0;29.0;3.0;4.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.08;0;1;1;0;0
02/01/2007;73.0;9.0;8.0;25.0;-1.0;-1.0;47.0;52.0;6.0;8.0;-1.0;125.0;14.0;39.0;-1.0;7.0;1.0;62.0;16.0;7.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.32;1;1;1;1;0
03/01/2007;110.0;43.0;32.0;44.0;-1.0;-1.0;93.0;88.0;53.0;52.0;-1.0;238.0;94.0;113.0;-1.0;27.0;4.0;115.0;55.0;66.0;47.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;82.47;1;1;1;1;1
04/01/2007;138.0;60.0;44.0;57.0;-1.0;-1.0;126.0;113.0;29.0;33.0;-1.0;286.0;77.0;149.0;-1.0;49.0;16.0;115.0;46.0;75.0;78.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;102.22;1;1;1;1;1
05/01/2007;203.0;89.0;74.0;99.0;-1.0;-1.0;189.0;159.0;84.0;80.0;-1.0;304.0;178.0;202.0;-1.0;66.0;32.0;157.0;91.0;119.0;139.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;147.7;1;1;1;1;1
06/01/2007;126.0;52.0;31.0;13.0;-1.0;-1.0;97.0;111.0;34.0;38.0;-1.0;233.0;56.0;156.0;-1.0;67.0;4.0;86.0;34.0;32.0;70.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;95.28;1;1;1;1;1
07/01/2007;99.0;59.0;8.0;21.0;-1.0;-1.0;95.0;109.0;17.0;25.0;-1.0;136.0;64.0;112.0;-1.0;54.0;7.0;101.0;31.0;41.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;85.78;1;1;1;1;1
08/01/2007;111.0;20.0;4.0;6.0;-1.0;-1.0;50.0;57.0;5.0;7.0;-1.0;165.0;31.0;106.0;-1.0;20.0;1.0;45.0;5.0;20.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.56;1;1;1;1;0
09/01/2007;165.0;98.0;38.0;64.0;-1.0;-1.0;128.0;150.0;54.0;74.0;-1.0;336.0;108.0;189.0;-1.0;55.0;12.0;120.0;75.0;94.0;71.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;126.38;1;1;1;1;1
10/01/2007;112.0;40.0;18.0;15.0;-1.0;-1.0;63.0;88.0;10.0;27.0;-1.0;173.0;45.0;170.0;-1.0;38.0;3.0;75.0;44.0;25.0;56.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;82.09;1;1;1;1;1
