;FR20045;FR20049;FR20003;FR20017;FR20020;FR20037;FR20036;FR20004;FR20048;FR20046;FR20204;FR20061;FR20062;FR20077;indicateur;moyenne;q1;mediane;q3;d10
01/01/2007;52.0;69.0;-1.0;44.0;37.0;50.0;52.0;47.0;58.0;46.0;-1.0;39.0;-1.0;-1.0;55.08;1;1;1;0;0
02/01/2007;29.0;76.0;-1.0;41.0;32.0;44.0;37.0;42.0;51.0;35.0;-1.0;46.0;-1.0;-1.0;47.5;0;1;0;0;0
03/01/2007;13.0;61.0;-1.0;19.0;14.0;22.0;19.0;22.0;28.0;15.0;-1.0;22.0;-1.0;-1.0;30.3;0;0;0;0;0
04/01/2007;5.0;59.0;-1.0;8.0;4.0;6.0;5.0;8.0;7.0;1.0;-1.0;2.0;-1.0;-1.0;21.62;0;0;0;0;0
05/01/2007;5.0;62.0;-1.0;5.0;2.0;6.0;3.0;10.0;4.0;0.0;-1.0;2.0;-1.0;-1.0;22.96;0;0;0;0;0
06/01/2007;10.0;45.0;-1.0;5.0;5.0;16.0;13.0;5.0;15.0;4.0;-1.0;3.0;-1.0;-1.0;18.83;0;0;0;0;0
07/01/2007;13.0;57.0;-1.0;6.0;3.0;12.0;14.0;5.0;14.0;1.0;-1.0;7.0;-1.0;-1.0;23.26;0;0;0;0;0
08/01/2007;25.0;56.0;-1.0;7.0;9.0;15.0;17.0;7.0;29.0;11.0;-1.0;5.0;-1.0;-1.0;27.53;0;0;0;0;0
09/01/2007;13.0;40.0;-1.0;6.0;4.0;10.0;12.0;4.0;15.0;2.0;-1.0;2.0;-1.0;-1.0;17.84;0;0;0;0;0
10/01/2007;25.0;49.0;-1.0;19.0;18.0;30.0;27.0;22.0;42.0;24.0;-1.0;16.0;-1.0;-1.0;31.13;0;0;0;0;0
11/01/2007;13.0;55.0;-1.0;12.0;9.0;17.0;12.0;16.0;24.0;10.0;-1.0;15.0;-1.0;-1.0;25.99;0;0;0;0;0
12/01/2007;13.0;60.0;-1.0;13.0;9.0;12.0;13.0;13.0;26.0;14.0;-1.0;19.0;-1.0;-1.0;26.71;0;0;0;0;0
13/01/2007;9.0;46.0;-1.0;3.0;3.0;8.0;6.0;3.0;11.0;3.0;-1.0;3.0;-1.0;-1.0;17.58;0;0;0;0;0
14/01/2007;15.0;56.0;-1.0;14.0;12.0;13.0;14.0;14.0;24.0;16.0;-1.0;11.0;-1.0;-1.0;26.54;0;0;0;0;0
15/01/2007;11.0;32.0;-1.0;5.0;6.0;5.0;7.0;5.0;23.0;7.0;-1.0;4.0;-1.0;-1.0;14.89;0;0;0;0;0
16/01/2007;21.0;49.0;-1.0;7.0;8.0;11.0;14.0;5.0;39.0;12.0;-1.0;2.0;-1.0;-1.0;23.48;0;0;0;0;0
17/01/2007;31.0;53.0;-1.0;10.0;16.0;18.0;21.0;9.0;42.0;20.0;-1.0;5.0;-1.0;-1.0;29.58;0;0;0;0;0
18/01/2007;38.0;62.0;-1.0;18.0;-1.0;23.0;28.0;16.0;41.0;30.0;-1.0;8.0;-1.0;-1.0;37.44;0;1;0;0;0
19/01/2007;9.0;51.0;-1.0;7.0;-1.0;10.0;8.0;7.0;20.0;4.0;-1.0;8.0;-1.0;-1.0;20.82;0;0;0;0;0
20/01/2007;4.0;42.0;-1.0;2.0;-1.0;5.0;3.0;3.0;7.0;3.0;-1.0;7.0;-1.0;-1.0;14.94;0;0;0;0;0
21/01/2007;27.0;58.0;-1.0;28.0;-1.0;29.0;30.0;34.0;37.0;26.0;-1.0;28.0;-1.0;-1.0;38.62;0;1;0;0;0
22/01/2007;4.0;53.0;-1.0;8.0;-1.0;7.0;6.0;9.0;13.0;9.0;-1.0;10.0;-1.0;-1.0;20.37;0;0;0;0;0
23/01/2007;10.0;37.0;-1.0;13.0;-1.0;13.0;11.0;17.0;21.0;15.0;-1.0;16.0;-1.0;-1.0;20.32;0;0;0;0;0
24/01/2007;23.0;55.0;-1.0;30.0;-1.0;34.0;30.0;33.0;37.0;32.0;-1.0;31.0;-1.0;-1.0;36.29;0;1;0;0;0
25/01/2007;12.0;43.0;-1.0;20.0;-1.0;21.0;18.0;24.0;21.0;17.0;-1.0;18.0;-1.0;-1.0;25.47;0;0;0;0;0
26/01/2007;15.0;49.0;-1.0;25.0;-1.0;25.0;21.0;25.0;25.0;21.0;-1.0;20.0;-1.0;-1.0;28.79;0;0;0;0;0
27/01/2007;20.0;53.0;-1.0;22.0;-1.0;27.0;25.0;26.0;27.0;23.0;-1.0;16.0;-1.0;-1.0;32.09;0;0;0;0;0
28/01/2007;41.0;53.0;-1.0;35.0;-1.0;41.0;42.0;36.0;44.0;43.0;-1.0;31.0;-1.0;-1.0;43.11;0;1;0;0;0
29/01/2007;22.0;61.0;-1.0;29.0;-1.0;27.0;27.0;34.0;37.0;28.0;-1.0;25.0;-1.0;-1.0;37.77;0;1;0;0;0
30/01/2007;14.0;42.0;-1.0;14.0;-1.0;17.0;13.0;17.0;20.0;20.0;-1.0;15.0;-1.0;-1.0;23.21;0;0;0;0;0
31/01/2007;17.0;31.0;-1.0;8.0;-1.0;10.0;12.0;9.0;28.0;16.0;-1.0;10.0;-1.0;-1.0;18.29;0;0;0;0;0
01/02/2007;10.0;41.0;-1.0;14.0;-1.0;21.0;13.0;15.0;22.0;15.0;-1.0;17.0;20.0;-1.0;21.02;0;0;0;0;0
02/02/2007;6.0;32.0;-1.0;6.0;-1.0;11.0;7.0;7.0;9.0;7.0;-1.0;8.0;16.0;-1.0;14.3;0;0;0;0;0
03/02/2007;5.0;39.0;-1.0;10.0;-1.0;19.0;9.0;11.0;11.0;11.0;-1.0;16.0;24.0;-1.0;17.92;0;0;0;0;0
04/02/2007;9.0;42.0;-1.0;11.0;-1.0;20.0;11.0;13.0;19.0;13.0;-1.0;17.0;23.0;-1.0;20.51;0;0;0;0;0
05/02/2007;32.0;60.0;-1.0;17.0;-1.0;32.0;30.0;16.0;48.0;27.0;-1.0;6.0;32.0;-1.0;34.96;0;1;0;0;0
06/02/2007;15.0;48.0;-1.0;8.0;-1.0;17.0;14.0;11.0;29.0;15.0;-1.0;9.0;18.0;-1.0;23.09;0;0;0;0;0
07/02/2007;21.0;49.0;-1.0;17.0;-1.0;24.0;20.0;20.0;29.0;20.0;-1.0;12.0;27.0;-1.0;28.76;0;0;0;0;0
08/02/2007;37.0;60.0;-1.0;22.0;-1.0;31.0;36.0;24.0;47.0;31.0;-1.0;12.0;32.0;-1.0;39.08;0;1;0;0;0
09/02/2007;9.0;43.0;-1.0;4.0;-1.0;11.0;7.0;9.0;15.0;4.0;-1.0;6.0;15.0;-1.0;18.59;0;0;0;0;0
10/02/2007;25.0;58.0;-1.0;9.0;-1.0;19.0;26.0;13.0;35.0;12.0;-1.0;12.0;16.0;-1.0;29.93;0;0;0;0;0
11/02/2007;55.0;63.0;-1.0;38.0;-1.0;44.0;53.0;40.0;58.0;46.0;-1.0;32.0;46.0;-1.0;51.97;1;1;1;0;0
12/02/2007;45.0;71.0;-1.0;51.0;-1.0;53.0;51.0;52.0;60.0;49.0;-1.0;44.0;60.0;-1.0;55.82;1;1;1;0;0
13/02/2007;34.0;68.0;-1.0;33.0;-1.0;44.0;36.0;36.0;56.0;40.0;-1.0;36.0;49.0;-1.0;45.32;0;1;0;0;0
14/02/2007;43.0;47.0;-1.0;24.0;-1.0;38.0;37.0;24.0;49.0;27.0;-1.0;14.0;37.0;-1.0;37.64;0;1;0;0;0
15/02/2007;30.0;52.0;-1.0;29.0;-1.0;32.0;29.0;32.0;38.0;29.0;-1.0;28.0;47.0;-1.0;37.86;0;1;0;0;0
16/02/2007;22.0;48.0;-1.0;8.0;-1.0;25.0;19.0;12.0;26.0;11.0;-1.0;7.0;18.0;-1.0;25.64;0;0;0;0;0
17/02/2007;47.0;66.0;-1.0;30.0;-1.0;38.0;42.0;32.0;40.0;29.0;-1.0;21.0;52.0;-1.0;47.78;0;1;0;0;0
18/02/2007;28.0;68.0;-1.0;13.0;-1.0;17.0;18.0;15.0;23.0;13.0;-1.0;11.0;31.0;-1.0;34.6;0;1;0;0;0
19/02/2007;27.0;69.0;-1.0;24.0;-1.0;24.0;21.0;32.0;34.0;19.0;-1.0;21.0;45.0;-1.0;40.78;0;1;0;0;0
20/02/2007;25.0;47.0;-1.0;14.0;-1.0;20.0;26.0;17.0;29.0;15.0;-1.0;11.0;24.0;-1.0;28.68;0;0;0;0;0
21/02/2007;30.0;60.0;-1.0;14.0;-1.0;18.0;23.0;19.0;35.0;16.0;-1.0;10.0;22.0;-1.0;33.79;0;0;0;0;0
22/02/2007;53.0;53.0;-1.0;32.0;-1.0;38.0;39.0;34.0;50.0;41.0;-1.0;22.0;27.0;-1.0;44.29;0;1;0;0;0
23/02/2007;57.0;63.0;-1.0;30.0;-1.0;41.0;45.0;36.0;64.0;41.0;-1.0;24.0;29.0;-1.0;49.35;0;1;0;0;0
24/02/2007;68.0;78.0;-1.0;59.0;-1.0;58.0;68.0;61.0;75.0;66.0;-1.0;49.0;46.0;-1.0;66.96;1;1;1;0;0
25/02/2007;62.0;75.0;-1.0;64.0;-1.0;61.0;70.0;66.0;71.0;62.0;-1.0;61.0;49.0;-1.0;66.3;1;1;1;0;0
26/02/2007;28.0;68.0;-1.0;44.0;-1.0;41.0;40.0;42.0;49.0;43.0;-1.0;46.0;38.0;-1.0;44.87;0;1;0;0;0
27/02/2007;30.0;58.0;-1.0;29.0;-1.0;32.0;31.0;28.0;41.0;22.0;-1.0;27.0;25.0;-1.0;36.79;0;1;0;0;0
28/02/2007;29.0;70.0;-1.0;29.0;-1.0;46.0;36.0;34.0;46.0;27.0;-1.0;34.0;21.0;-1.0;41.6;0;1;0;0;0
01/03/2007;51.0;74.0;-1.0;43.0;-1.0;58.0;46.0;46.0;64.0;43.0;-1.0;27.0;30.0;-1.0;53.74;1;1;1;0;0
02/03/2007;46.0;69.0;-1.0;43.0;-1.0;55.0;51.0;42.0;56.0;43.0;-1.0;38.0;34.0;-1.0;50.62;0;1;0;0;0
03/03/2007;52.0;69.0;-1.0;42.0;-1.0;49.0;49.0;42.0;60.0;41.0;-1.0;33.0;37.0;-1.0;52.33;1;1;1;0;0
04/03/2007;54.0;73.0;-1.0;46.0;-1.0;57.0;53.0;53.0;61.0;46.0;-1.0;38.0;37.0;-1.0;57.38;1;1;1;0;0
05/03/2007;50.0;74.0;-1.0;38.0;-1.0;52.0;44.0;43.0;58.0;42.0;-1.0;42.0;33.0;-1.0;52.71;1;1;1;0;0
06/03/2007;46.0;80.0;-1.0;43.0;-1.0;53.0;46.0;47.0;59.0;43.0;-1.0;35.0;33.0;-1.0;54.54;1;1;1;0;0
07/03/2007;56.0;78.0;-1.0;47.0;-1.0;55.0;52.0;47.0;70.0;50.0;-1.0;39.0;39.0;-1.0;57.79;1;1;1;0;0
08/03/2007;42.0;75.0;-1.0;41.0;-1.0;50.0;48.0;50.0;59.0;45.0;-1.0;48.0;42.0;-1.0;53.8;1;1;1;0;0
09/03/2007;38.0;76.0;-1.0;47.0;-1.0;50.0;44.0;53.0;56.0;44.0;-1.0;35.0;42.0;-1.0;53.47;1;1;1;0;0
10/03/2007;66.0;79.0;-1.0;69.0;-1.0;75.0;69.0;76.0;69.0;59.0;-1.0;63.0;61.0;-1.0;72.13;1;1;1;1;0
11/03/2007;54.0;82.0;-1.0;60.0;-1.0;64.0;57.0;67.0;61.0;50.0;-1.0;59.0;53.0;-1.0;65.47;1;1;1;0;0
12/03/2007;21.0;76.0;-1.0;22.0;-1.0;30.0;22.0;32.0;42.0;18.0;-1.0;25.0;22.0;-1.0;39.33;0;1;0;0;0
13/03/2007;27.0;88.0;-1.0;36.0;-1.0;39.0;36.0;46.0;56.0;34.0;-1.0;29.0;29.0;-1.0;50.01;0;1;0;0;0
14/03/2007;45.0;-1.0;-1.0;61.0;-1.0;51.0;69.0;69.0;71.0;58.0;-1.0;53.0;67.0;-1.0;59.48;1;1;1;0;0
15/03/2007;22.0;-1.0;-1.0;28.0;-1.0;35.0;32.0;35.0;54.0;30.0;-1.0;28.0;33.0;-1.0;29.48;0;0;0;0;0
16/03/2007;34.0;86.0;-1.0;44.0;-1.0;54.0;47.0;52.0;52.0;41.0;-1.0;42.0;48.0;-1.0;55.53;1;1;1;0;0
