;FR20038;FR20061;FR20029;FR20013;FR20031;FR20019;FR20037;FR20046;FR20045;FR20062;FR20063;FR20048;FR20017;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10;seuil_oms
01/01/2007;19.0;21.0;24.0;34.0;21.0;28.0;23.0;23.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.3;0;1;0;0;0;0
02/01/2007;11.0;15.0;16.0;30.0;15.0;19.0;17.0;17.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.72;0;0;0;0;0;0
03/01/2007;27.0;30.0;37.0;50.0;31.0;52.0;32.0;32.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.13;1;1;1;0;0;0
04/01/2007;39.0;44.0;42.0;67.0;38.0;58.0;40.0;43.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.93;1;1;1;1;0;0
05/01/2007;29.0;37.0;34.0;55.0;33.0;63.0;33.0;39.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.93;1;1;1;1;0;0
06/01/2007;30.0;35.0;36.0;55.0;29.0;61.0;29.0;32.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.19;1;1;1;1;0;0
07/01/2007;32.0;32.0;40.0;53.0;33.0;51.0;33.0;37.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;33.8;1;1;1;1;0;0
08/01/2007;28.0;28.0;30.0;45.0;27.0;41.0;28.0;27.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.82;1;1;1;0;0;0
09/01/2007;34.0;33.0;45.0;66.0;39.0;54.0;37.0;33.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.12;1;1;1;1;0;0
10/01/2007;24.0;27.0;31.0;41.0;25.0;44.0;26.0;22.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.68;0;1;1;0;0;0
11/01/2007;38.0;38.0;52.0;60.0;39.0;71.0;42.0;44.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.44;1;1;1;1;0;0
12/01/2007;31.0;31.0;41.0;55.0;37.0;55.0;32.0;-1.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.72;1;1;1;1;0;0
13/01/2007;41.0;42.0;53.0;67.0;50.0;73.0;46.0;52.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.43;1;1;1;1;1;0
14/01/2007;31.0;29.0;41.0;43.0;36.0;49.0;34.0;32.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.27;1;1;1;1;0;0
15/01/2007;35.0;37.0;51.0;51.0;39.0;56.0;43.0;-1.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.34;1;1;1;1;0;0
16/01/2007;45.0;43.0;61.0;61.0;59.0;87.0;48.0;-1.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.35;1;1;1;1;1;0
17/01/2007;34.0;45.0;38.0;56.0;32.0;52.0;33.0;33.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.98;1;1;1;1;0;0
18/01/2007;29.0;38.0;33.0;39.0;29.0;37.0;26.0;28.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.18;1;1;1;1;0;0
19/01/2007;35.0;33.0;43.0;58.0;40.0;60.0;32.0;38.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.39;1;1;1;1;0;0
20/01/2007;27.0;32.0;38.0;48.0;35.0;62.0;33.0;44.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.38;1;1;1;1;0;0
21/01/2007;26.0;29.0;34.0;38.0;31.0;41.0;26.0;31.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.62;1;1;1;0;0;0
