id;population
FR20002;525236
FR20003;525236
FR20004;525236
FR20008;525236
FR20013;6504
FR20016;525236
FR20017;525236
FR20019;151727
FR20020;151727
FR20026;36288
FR20029;9931
FR20030;9931
FR20031;19315
FR20033;2971
FR20034;10522
FR20036;46784
FR20037;5587
FR20038;20225
FR20045;13235
FR20046;51045
FR20048;4147
FR20049;191
FR20055;19315
FR20060;67397
FR20061;36288
FR20062;525236
FR20063;42625
FR20064;5057
FR20065;525236
FR20066;525236
FR20067;525236
FR20069;151727
FR20070;525236
FR20071;525236
FR20077;36288
FR20204;1029
